상호,영업표지,업종,전체,가맹점,직영점
(주)한경코퍼레이션,한가네숯불닭갈비,한식,,,
(주)화목한,화목칼국수,한식,4,4,0
(주)서호에프앤비,오태식해바라기치킨,치킨,87,87,0
살림F&B,봉쥬르호떡,제과제빵,,,
(주)디아이씨프랜차이즈,금사부김치찜,한식,,,
(주)프레드피자,프레드피자,피자,116,116,0
(주)디아이씨프랜차이즈,삼겹당,한식,,,
우대포위례본점,우대포,한식,1,0,1
(주)바오밥아이엔씨,토계,기타 외식,0,0,0
도리연닭도리탕,도리연닭도리탕,한식,7,6,1
(주)굿투비위드유,뼈대장,한식,0,0,0
(주)굿투비위드유,간편한식탁,한식,6,6,0
(주)굿투비위드유,대박한쌈,한식,0,0,0
탕면,한고심,중식,1,0,1
카페알앤비(CafeR&B스타샌드),카페알앤비(CAFE R&B),커피,1,0,1
맥반BBQ,맥반BBQ,치킨,1,0,1
㈜경재에프앤씨(Kyeongjaef&c),오늘의회전초밥 오회초,일식,1,0,1
미락제면1941,미락제면1941,일식,1,0,1
제이엠제이에프앤비,떡불킹,분식,1,1,0
두부품은육개장,두부품은육개장,한식,5,4,1
하율푸드(주),장터순대국감자탕,한식,16,16,0
이동유통(주),애주당(愛酒堂),주점,1,0,1
(주)양파이,양파이,한식,5,4,1
(주)웰빙코리아,소담촌,기타 외식,89,87,2
(주)제이에스씨컴퍼니,정성찬,기타 외식,44,39,5
(주)브이앤케이코퍼레이션,킹반미1964,기타 외국식,2,0,2
(주)브이앤케이코퍼레이션,브이카페,커피,3,2,1
(주)세지푸드,르번미(Lebunmie),기타 외국식,11,11,0
(주)바스토테크놀로지스,선넘는 떡볶이,분식,0,0,0
(주)바스토테크놀로지스,밥스토랑,기타 외식,158,158,0
순수유통(주),쥬청과,음료 (커피 외),8,7,1
(주)한끼요,한끼요,한식,0,0,0
(주)다온에프앤에스,땡초우동,주점,36,34,2
골든내츄럴라이프,한글153,커피,0,0,0
(주)웰빙푸드,자담치킨,치킨,716,716,0
연심,청정스시,일식,0,0,0
(주)더큰,소바공방,일식,1,0,1
유메오뎅,유메오뎅,한식,,,
(주)인맥에프엔씨,인생건어물맥주,주점,,,
정가네꼬마김밥,정가네 꼬마김밥,분식,1,0,1
(주)다함컴퍼니,꼬치마요,주점,2,2,0
무대포장어,무대포장어,한식,1,0,1
(주)제이앤피푸드,홍미닭발,한식,1,0,1
까사델커피,르몬(Le Mohn),커피,0,0,0
(주)윌앤컴퍼니,솥밥예찬,한식,,,
포밀,정카츠,한식,0,0,0
(주)천사들,오리덕애,한식,0,0,0
(주)조기종푸드,조기종의 향미각,중식,1,0,1
에스투F&B,사랑해베이글,기타 외식,10,8,2
(주)웰푸드컴퍼니,고래꼬치,주점,0,0,0
동양카츠,동양카츠,기타 외식,3,2,1
(주)큐알컴퍼니,착한미역국,한식,0,0,0
(주)세현에프앤비,배무치숯불두마리치킨,치킨,0,0,0
(주)바이담,대패마켓,한식,0,0,0
유달먹거리라이트연산점,유달먹거리,주점,1,0,1
프로이드컴퍼니,호랑이찜닭,한식,1,1,0
려포성마라탕본점,려포성마라탕,중식,1,0,1
SSF&C,언양닭칼국수,한식,47,47,0
(주)엠케이브릿지,꽈뜨봉치킨,치킨,2,2,0
(주)엠케이브릿지,방랑떡볶이,분식,,,
(주)엠케이브릿지,조명탄,주점,4,4,0
(주)드링코코리아,링코(RINKO),주점,34,34,0
(주)정점,인생아구찜,한식,,,
다림식품,한끼한죽,한식,132,132,0
엠에스푸드,동대문역전떡볶이,분식,,,
뭐꼬뭐꼬플러스,뭐꼬뭐꼬,치킨,4,3,1
(주)스타프렌차이즈,류별난닭발,한식,,,
(주)스타프렌차이즈,육회한 감전통닭,기타 외식,,,
(주)스타프렌차이즈,어머나생고기,한식,,,
다우,오들리샷,커피,1,0,1
(주)온센,온센,일식,,,
(주)대단한푸드,대단한 탕후루,제과제빵,,,
폴프랭크카페코리아(주),폴프랭크카페,커피,1,0,1
더온푸드,충청삼겹,한식,2,1,1
(주)케이알푸드,마라의신,중식,3,1,2
(주)호랑이푸드,직화방이,기타 외식,1,1,0
기버(GIVER),기버케밥,기타 외식,1,0,1
시계곱창,시계곱창,한식,2,1,1
카츠오모이,카츠오모이,일식,16,14,2
엔타민푸드,어가반상,한식,3,2,1
파스타앤우,파스타앤우,서양식,20,20,0
(주)팔자마켓,우진해장국,한식,0,0,0
탑오브킹,빙수킹,아이스크림/빙수,0,0,0
탑오브킹,떡보킹,분식,11,10,1
마마꼬,마마꼬,치킨,0,0,0
(주)이디야,이디야커피,커피,"3,019","3,005",14
(주)하솔에프앤비,제주은희네해장국,한식,91,86,5
(주)치어스,치어스,주점,74,73,1
(주)웰푸드컴퍼니,곱분이곱창,한식,137,137,0
(주)힘난다,힘난다토스트,패스트푸드,0,0,0
(주)힘난다,힘난다버거,패스트푸드,43,38,5
(주)젤라뚜또,젤라뚜또,기타 외식,5,2,3
(주)이규식품,정남옥,한식,6,6,0
(주)플랜에이컴퍼니,부곡하와이,주점,0,0,0
(주)플랜에이컴퍼니,젠틀래빗,주점,17,17,0
(주)와이더잇,잇또라멘,분식,14,14,0
오백제작소,오백국수,분식,36,35,1
케이비엠(KBM),고봉민김밥人,한식,534,534,0
마카마카마카롱,마카마카,기타 외식,3,2,1
신선한우마을,신선한우마을,한식,2,0,2
서부청기와감자탕,서부청기와감자탕,한식,0,0,0
동행푸드,부뚜막김치찜,한식,67,67,0
장육식당,장육식당,기타 외식,1,0,1
신암연탄한장이글포차,신암연탄한장이글포차,한식,1,0,1
와이디씨(Y.D.C),Y.D.C(와이디씨),일식,1,0,1
서식,서식,주점,1,0,1
준미트,고령촌돼지찌개석쇠불고기,한식,0,0,0
백샐,백샐(BEAKXEL),기타 외식,2,0,2
하양F&C,하양끝집,한식,2,0,2
배달덮밥,배달덮밥,한식,1,0,1
(주)제이스타임,비엔나핫도그,기타 외식,0,0,0
이게(주),이게볶음밥,한식,12,11,1
(주)꺼먹지푸드,꺼먹지명태조림,한식,2,1,1
안주일체,안주일체,한식,10,10,0
(주)바우랑푸드,가우미탑골가든,한식,1,0,1
아프리카막창,아프리카 막창,한식,1,0,1
(주)유원푸드,유원옥,한식,1,0,1
(주)썬스키친,중화카츠,기타 외국식,1,0,1
(주)큐알컴퍼니,배달비 무료 삼겹 배무삼,한식,0,0,0
(주)필드키친,1992덮밥&짜글이,한식,58,58,0
(주)세현에프앤비,배무치밥,치킨,0,0,0
㈜디케이비에프엔비,도케비커피(DoKKeB Coffee),커피,3,0,3
이바램,이바램,기타 외식,1,0,1
(주)일프로,타코형,기타 외식,0,0,0
(주)이프로,배죽&국밥만찬,기타 외식,0,0,0
(유)샤브향,어더아사,아이스크림/빙수,0,0,0
(유)올드브릭컴퍼니,커피 로드뷰,커피,6,5,1
메이즈메이즈(MazeMaze),메이즈메이즈,커피,1,0,1
지오컴퍼니(주),제육명가,한식,13,13,0
지오컴퍼니(주),정담모밀,한식,11,11,0
심도C&P,심도,주점,2,1,1
글로리에프엔비,영광조개구이무한리필,한식,1,0,1
글로리에프엔비,청춘무한리필조개구이,한식,9,8,1
(주)삼굽살,삼굽살,한식,9,8,1
새삼&파이팅,새삼,한식,0,0,0
어랏커피,어랏커피스탠드,커피,0,0,0
(주)제이스타임,에그박스,기타 외식,48,48,0
파도수산&오사카수산,파도수산,한식,2,1,1
㈜남다른생각,사운즈커피(SOUNDS COFFEE),커피,5,3,2
(주)제이에이치엘컴퍼니,해밍턴부대찌개곱창전골,한식,23,23,0
오늘,순두부전문점오늘,한식,1,0,1
(주)고씨네푸드,천하제일솥뚜껑,한식,2,1,1
(주)고씨네푸드,넛츠비어,주점,0,0,0
(주)지에프엠,몽롱주점,주점,1,0,1
(주)브라더에프앤에이치,브라더한정식도시락,한식,35,34,1
대경식품,용가마순대,한식,17,17,0
(주)세기에프앤에스,화신바베큐치킨,치킨,2,0,2
다림식품,올림죽,한식,,,
씨에이치푸드(CHFOOD),본감자탕,한식,4,4,0
김치부루스,김치부루스,한식,4,3,1
진강정,진강정,치킨,10,9,1
대동면옥강릉점,대동면옥,한식,1,0,1
금상수상쉐프의맛좋은족발,금상족발,기타 외식,2,1,1
레드립F&B,씨에씨에마라탕,중식,24,24,0
맘맘테이블(mammamtable),맘맘테이블,기타 외국식,2,1,1
삼곱푸드,삼곱식당,한식,11,11,0
(주)농부애푸드,농부애갈비,기타 외식,3,3,0
(주)테즈,아웃닭,치킨,60,60,0
(주)정성,스마일맥주,기타 외식,3,1,2
(주)홀리카우,용범이네인계동껍데기,기타 외식,12,11,1
(주)홀리카우,용범양대창,한식,0,0,0
(주)케이제이에프앤비,보리야반가워,주점,0,0,0
(주)케이제이에프앤비,꽃다운주점,주점,26,26,0
(주)홀리카우,용범이네 노상통닭,치킨,0,0,0
(주)정성,서울주막,주점,10,9,1
(주)제이스타임,레드락,주점,2,2,0
(주)제이스타임,짠앤짠스,주점,1,1,0
(주)키라키라윤,키라키라윤,주점,6,4,2
(주)제이스타임,꽈배배,기타 외식,2,1,1
(주)제이스타임,곰브라더스,기타 외식,1,1,0
(주)카페에뜨,카페에뜨,커피,1,1,0
㈜제이피에프엔비,버밀당베이커리,제과제빵,2,2,0
㈜제이피에프엔비,꽈로플,커피,2,2,0
(주)아프리카커피가게앤학원,아프리카커피초콜릿,커피,10,9,1
(주)얏트코리아,떡작,분식,19,19,0
(주)알통컴퍼니,알통떡강정,치킨,145,145,0
(주)피스앤피스,치즈웨이브(Cheese Wave),피자,5,5,0
(주)바른F&C,생생직판장,한식,4,4,0
(주)웨이브,투파인드피터,서양식,26,26,0
(주)웨이브,밀플랜비,패스트푸드,21,21,0
(주)가치엔제이,남자피자,피자,14,14,0
(주)초에프앤비,초대창,기타 외식,4,4,0
(주)제이엔케이패밀리,곱창고,기타 외식,69,69,0
(주)케리온,원조설악추어탕,기타 외식,32,32,0
(주)웅그룹,웅파이(EUNPIE),제과제빵,11,11,0
(주)페리카나,페리카나,치킨,"1,056","1,056",0
칠연푸드시스템,용추골미궁순대,한식,49,47,2
(주)오맛있는여행,오숙성돈까스와국수맛있는여행,분식,0,0,0
(주)놀부,탕수육본능,중식,0,0,0
(주)놀부,놀부해물찜,한식,0,0,0
(주)놀부,호반식,기타 외식,4,4,0
(주)놀부,흥부찜닭,한식,40,40,0
(주)놀부,베리굿피자,피자,0,0,0
(주)놀부,도쿄주방,일식,0,0,0
(주)놀부,놀부감자탕,한식,0,0,0
(주)놀부,아임유얼파스타,서양식,1,0,1
(주)놀부,창대한곱창,한식,0,0,0
(주)놀부,오리본능,한식,0,0,0
(주)놀부,놀부유황오리진흙구이,한식,3,1,2
(주)놀부,놀부항아리갈비,한식,4,4,0
(주)놀부,놀부화덕족발,한식,4,4,0
(주)놀부,방콕포차,기타 외식,0,0,0
(주)놀부,타이거마라,기타 외식,0,0,0
(주)놀부,치킨본능,치킨,0,0,0
(주)놀부,샌드위치몬스터,기타 외식,0,0,0
(주)놀부,진한설렁탕담다,한식,3,3,0
(주)놀부,벨라빈스커피,커피,0,0,0
(주)놀부,놀부보쌈족발,한식,136,134,2
(주)놀부,삼겹본능,한식,155,155,0
(주)놀부,럭키경양식,서양식,0,0,0
신왕우육면,신왕우육면,중식,1,0,1
(주)푸디노에프앤디,기막힌밥상,한식,1,1,0
(주)백선생푸드,백선생푸드,한식,7,7,0
㈜모두여는세상,항정살이맛있다,한식,,,
화덕애쪽신림직영점,화덕애쪽,한식,1,0,1
착한탕후루,착한탕후루,기타 외식,1,0,1
스시후야,스시후야,일식,1,0,1
슈룹,슈룹,한식,1,0,1
본냉삼집,본냉삼집,한식,1,0,1
(주)현풍,수내닭꼬치,기타 외식,115,115,0
패밀리에프엔씨,추닭집,치킨,30,30,0
신통큰아구,통큰아구찜,한식,3,3,0
착한맘굿쉐프,전골마켓,한식,20,20,0
착한맘굿쉐프,육장장이,한식,6,6,0
착한맘굿쉐프,삼돌박이,한식,1,1,0
착한맘굿쉐프,불공장,기타 외식,0,0,0
착한맘굿쉐프,해화로,한식,0,0,0
성호미트,MH백년수갈비,기타 외식,20,20,0
(주)희라이프파트너스,크로플로,커피,15,15,0
(주)사랑과선행,효도쿡,기타 외식,13,10,3
(주)사미푸드서비스,사미반점,중식,11,11,0
킹스빈,킹스빈,커피,5,5,0
한나에프앤비,한나식빵,제과제빵,0,0,0
(주)만년푸드,만년닭강정,치킨,28,28,0
빵드밀(주),빵드밀,제과제빵,2,2,0
(주)솔로몬푸드,옥구삼,한식,2,2,0
(주)푸디노에프앤디,강정이기가막혀,치킨,11,11,0
(주)푸디노에프앤디,웰덤치킨,치킨,42,42,0
(주)봉남푸드,김봉남포장마차,주점,13,9,4
(주)무궁화푸드,호랑이식당,일식,1,0,1
(주)에프씨천상,우동텐,기타 외식,0,0,0
(주)에프씨천상,돈까스잔치,한식,7,4,3
(주)에프씨천상,이태원천상,일식,5,5,0
(주)정키친,서울덮밥,한식,0,0,0
(주)수혁,뉴욕버거,패스트푸드,161,159,2
(주)일공공에프앤피,백억하누돈,한식,0,0,0
(주)일공공에프앤피,백억하누,한식,0,0,0
까사푸드(CASAfood),까사플레이트,서양식,6,5,1
(주)긱스에프앤비,불리스뉴욕핫도그,패스트푸드,0,0,0
(주)긱스에프앤비,괴짜쉐프파스타,서양식,14,14,0
(주)긱스에프앤비,긱스피자,피자,13,13,0
(주)모닥홀딩스,제주몬트락,기타 외식,5,3,2
(주)송원에프앤비,송원스키야키샤브샤브,일식,1,1,0
(주)더조은세상,INGS' COFFEE,커피,8,8,0
꿈다,찜피,한식,0,0,0
비컨홀딩스(주),청,중식,6,4,2
비컨홀딩스(주),청화당,중식,2,2,0
비컨홀딩스(주),토마틸로,기타 외국식,3,3,0
바투엣,바투엣,기타 외국식,,,
아이엘글로벌,아보 포케,기타 외식,1,0,1
오육,오육,한식,2,1,1
바릇,올바릇,한식,1,0,1
남파랑국밥상암점,남파랑국밥,한식,1,0,1
(주)아이오토아이,오토김밥 닭강정(OTTOBOY),분식,0,0,0
(주)엉터리,엉터리생고기세번째이야기프리미엄코리안비비큐,한식,0,0,0
(주)재혁,미스타교자,일식,,,
길리(gili),비에이비(B.A.B),한식,0,0,0
길리(gili),김치찜와썹,한식,0,0,0
(주)부자이웃,봉구스밥버거,기타 외식,501,501,0
(주)가람에프엔비,크로플덕오리아가씨,기타 외식,,,
(주)어라운드에이치큐,옐로우스푼,기타 외식,28,28,0
(주)마성,토리만쥬,기타 외식,5,4,1
(주)마성,마성면우동리,분식,3,1,2
(주)마성,마성떡볶이,분식,52,42,10
(주)박앤박,혼밥대왕,한식,130,130,0
(주)박앤박,철순이네김치찌개,한식,1,1,0
(주)빌드업메이트,넉넉한샐러드앤커피,기타 외식,2,1,1
(주)오순오케이,본대가,한식,8,7,1
(주)박앤박,밥도둑 한끼뚝딱,한식,33,33,0
(주)박앤박,쭈꾸밍,한식,10,10,0
(주)박앤박,비돈이제돈이,한식,34,34,0
(주)박앤박,"바로덮밥,바로파스타&경양식",기타 외식,80,80,0
(주)박앤박,바로반점,중식,0,0,0
(주)이독도참치유통,참치학교,기타 외식,3,2,1
에스에스디아이디(주),신사 동인동,한식,3,2,1
와이앤제이푸드,진고래아구찜해물찜,한식,18,18,0
(주)피앤파트너스,커피코트,커피,11,11,0
㈜에이치비에스,아맵떡,분식,0,0,0
심퉁즉떡,심퉁즉떡,분식,42,41,1
(주)다이닝팩토리,전설의켄터키,치킨,0,0,0
(주)다이닝팩토리,장인닭갈비,한식,11,11,0
(주)다이닝팩토리,에그셀런트,패스트푸드,51,50,1
(주)다이닝팩토리,압구정곱떡,분식,0,0,0
(주)다이닝팩토리,리골레토시카고피자,피자,8,8,0
(주)다이닝팩토리,미트맨(MEATMAN),기타 외식,4,3,1
(주)다이닝팩토리,동경푸줏간,기타 외식,0,0,0
(주)다이닝팩토리,동경야시장,주점,14,14,0
(주)달리는커피코리아,달커스피디,서양식,1,0,1
(주)달리는커피코리아,달리는커피,커피,274,274,0
(주)엉터리,고봉덮밥,한식,0,0,0
(주)엉터리,독짓골제주해장국,한식,0,0,0
(주)엉터리,돈워리돈해피,한식,0,0,0
(주)엉터리,엉터리묵은지김치찜,한식,0,0,0
(주)엉터리,주칠일,주점,0,0,0
(주)엉터리,흑석돈,한식,,,
(주)엉터리,팔당한옥집,한식,,,
(주)엉터리,국가닭표,치킨,0,0,0
(주)엉터리,후딱한끼,일식,,,
(주)엉터리,엉맥,주점,,,
(주)엉터리,숯부래,한식,0,0,0
(주)엉터리,엉터리집,한식,0,0,0
(주)엉터리,엉터리 해장국,한식,42,42,0
(주)엉터리,엉터리생고기 두번째이야기 무한삼겹,기타 외식,43,43,0
(주)엉터리,엉터리생고기,기타 외식,25,25,0
(주)더파운더,키핏(KEEP FIT),기타 외식,7,7,0
우리푸드시스템,곱창집,한식,0,0,0
아이키친&메롱타운,메롱타운,커피,0,0,0
(주)채움에프앤비,채우다,커피,10,9,1
그래컴퍼니,올리터,커피,12,11,1
(주)맘스터치앤컴퍼니,맘스피자(MOM'S PIZZA),패스트푸드,0,0,0
(주)맘스터치앤컴퍼니,맘스터치 피자앤치킨,패스트푸드,38,36,2
(주)맘스터치앤컴퍼니,맘스터치,패스트푸드,"1,394","1,392",2
(주)피플스에프엔씨,피도락,피자,,,
(주)햇살푸드에프에스,막창굽는 연탄할매,한식,2,0,2
씨앤짜이도삭면,씨앤짜이,중식,1,0,1
와카바서부산유통단지점,와카바식당,일식,1,0,1
(주)더치즈샵,더치즈샵,커피,4,2,2
프로이드컴퍼니,말죽거리분식,한식,0,0,0
더국민푸드,국민낙곱새,한식,15,14,1
(주)사람과자연,콩닭발,기타 외식,0,0,0
(주)사람과자연,전주어탕국수,한식,0,0,0
93컴퍼니,구삼씨스토리(93 sea story),기타 외식,0,0,0
(주)코리아엠엔에스,산쪼메,기타 외식,33,33,0
(주)제이엘푸드,부산아지매국밥,한식,59,57,2
중화객잔과천중앙점,중화객잔,중식,1,0,1
원영미트,물고기,한식,1,1,0
더제이푸드,칸죽,한식,0,0,0
성난물고기,성난물고기,기타 외식,1,0,1
더제이푸드,아뵤오반점,중식,7,7,0
더제이푸드,바리스타미스김,커피,0,0,0
더제이푸드,동까스1988,일식,0,0,0
더제이푸드,1키로탕수육,중식,10,10,0
고구려수제본갈비,고구려수제본갈비,한식,3,2,1
안나스낵,안나스낵(ANNASNACK),기타 외식,3,2,1
베이커리카페동백다방,동백다방,커피,2,1,1
프랜스타,마이요거트립,아이스크림/빙수,48,48,0
백청우칼국수,백청우칼국수,한식,16,15,1
케이씨컴퍼니,국사랑,한식,42,42,0
(주)아메리칸트레이,아메리칸트레이,기타 외식,,,
(주)신들의정원,카츠루와,기타 외식,94,94,0
㈜하나컴퍼니,호랭이 곳간,한식,,,
(주)프라빈,PRABEAN,커피,10,10,0
(주)글로벌푸드홀딩스,포 시애틀,기타 외국식,11,11,0
수라간닭잡는날본점,수라간 닭 잡는날,한식,1,0,1
떡볶이창고,떡볶이창고,분식,5,4,1
(주)더오랩,피자오 (PIZZA O),피자,1,0,1
또봄세,또봄세,주점,1,0,1
(주)자연가득,오라이 숯불닭갈비,한식,3,3,0
(주)자연가득,삼육오 족발찜닭,한식,6,6,0
(주)자연가득,돌깨마을 맷돌순두부,한식,29,25,4
오리엔츠,호랭이행님,주점,0,0,0
오리엔츠,헤이그로밋,주점,0,0,0
오리엔츠,부처핸접,주점,0,0,0
(주)워크위드에프앤씨,투픽샐러드(Today’s Pick),기타 외식,1,0,1
(주)워크위드에프앤씨,파파1215,기타 외식,11,9,2
(주)올에프엔비,고래고래회&해산물포차,기타 외식,0,0,0
(주)올에프엔비,무청감자탕,한식,6,5,1
콩뿌리프랜차이즈(주),콩뿌리 전주콩나물국밥,한식,18,18,0
(주)언노운로스터스,아티클(ARTICLE),커피,4,3,1
(주)올에프엔비,족발야시장,기타 외식,236,236,0
에스디씨코리아(주),꿀때기,한식,1,0,1
(주)순정에프앤비,오리엔탈게이트,기타 외국식,1,1,0
(주)순정에프앤비,무다이,일식,6,6,0
(주)순정에프앤비,라멘선생,일식,75,75,0
봉봉컴퍼니,잘차림도시락,한식,9,9,0
백연게장,백연게장,한식,1,0,1
(주)코미,밥토리돈까스,한식,0,0,0
(주)본투랩,빌리언박스,패스트푸드,6,6,0
(주)시소,스테이크의 정석,서양식,2,1,1
이심전심(주),파치비,서양식,1,1,0
이심전심(주),닭강정총각,치킨,0,0,0
이심전심(주),킹오브떡볶이,분식,9,9,0
(주)공존컴퍼니,두부만드는사람들,한식,82,82,0
(주)솔라벨,샐러벨,기타 외식,,,
(주)솔라벨,원트피자(Want Pizza),기타 외식,3,3,0
(주)솔라벨,와필레(WAFILLE),제과제빵,2,1,1
(주)솔라벨,스트릿츄러스,제과제빵,53,53,0
이심전심(주),한남동그집,주점,61,61,0
(주)이바돔,조선화로집,한식,53,53,0
(주)이바돔,조선갈비실록,한식,3,3,0
(주)이바돔,제주도야지판,한식,4,4,0
(주)이바돔,이바돔 외식 Family,한식,10,10,0
(주)이바돔,강촌식당,한식,10,10,0
(주)이바돔,이바돔감자탕,한식,70,70,0
(주)더쿡코리아,교토돈부리,일식,1,0,1
부산강서구맛집돌짜장,경마장돌짜장,중식,1,0,1
두건쓴형제,소각,한식,,,
추풍정매곡본점,추풍정,한식,0,0,0
리터킹체인본부,리터킹,커피,,,
(주)에프엠씨앤,곱도리탕 매운집,한식,0,0,0
뼈대있는김치찜수성점,뼈대있는김치찜,한식,0,0,0
(주)세리스,한식1번가와교실의밥상,한식,0,0,0
웅스키친,찌웅이네숯불두마리치킨,치킨,10,10,0
(주)아시아푸드리퍼블릭,두꺼비식당,한식,14,9,5
(주)아시아푸드리퍼블릭,포보스,기타 외국식,4,4,0
(주)웰푸드,뉴욕핫도그&치킨,패스트푸드,9,9,0
(주)도스타코스,도스타코스,기타 외국식,15,14,1
(주)푸드프랜,태기산더덕순대,한식,10,10,0
피자연합협동조합,피자연합,피자,14,14,0
(주)디에스푸드,고스트치킨,패스트푸드,0,0,0
(주)디에스푸드,제육의 법칙,한식,36,36,0
(주)디에스푸드,피자와치킨의러브레터,피자,71,71,0
(주)아소정,아소정,한식,3,0,3
(주)푸드지니어스,짱닭치킨,치킨,46,46,0
(주)육칠팔,육칠팔,한식,0,0,0
(주)육칠팔,백정,기타 외식,0,0,0
(주)다우림푸드,마포만두,분식,4,2,2
(주)골든밥코리아,탐나종합어시장,일식,50,50,0
속초킹김밥&도시락,함박꼬기와플&김밥,기타 외식,0,0,0
속초킹김밥&도시락,루틴(routine)111,기타 외식,0,0,0
속초킹김밥&도시락,속초킹김밥&도시락,기타 외식,1,0,1
난달라푸드테크놀로지,춘천100%순메밀막국수&냉면,한식,1,0,1
(주)블루유니버스,위클리베이글,제과제빵,1,0,1
수혈컴퍼니,아아수혈,커피,10,8,2
양마니푸드,양마니순대곱창,한식,6,5,1
(주)중화명장,중화개화,중식,1,0,1
(주)중화명장,신차이,중식,5,1,4
(주)중화명장,명장반점,중식,4,4,0
(주)중화명장,만추,중식,6,1,5
(주)창업파트너,서초동면옥,한식,0,0,0
(주)창업파트너,서초동바게트,제과제빵,0,0,0
(주)창업파트너,서초동반점,중식,0,0,0
(주)창업파트너,서초동진짜버거,패스트푸드,0,0,0
(주)창업파트너,서초동파스타,서양식,0,0,0
(주)창업파트너,서초동피자,피자,0,0,0
(주)창업파트너,서초동한잔,주점,0,0,0
(주)창업파트너,서초동국밥,한식,0,0,0
(주)창업파트너,서초동김치찌개,한식,0,0,0
(주)창업파트너,서초동닭다리,치킨,0,0,0
(주)창업파트너,서초동떡볶이,분식,0,0,0
(주)창업파트너,서초동라멘장인,일식,0,0,0
(주)창업파트너,서초동버블버블,음료 (커피 외),0,0,0
(주)창업파트너,서초동쌀국수집,기타 외국식,0,0,0
(주)창업파트너,서초동에스프레소,커피,0,0,0
(주)창업파트너,서초동오늘뭐먹지,기타 외식,0,0,0
(주)창업파트너,청담커피,커피,0,0,0
(주)세모담에프앤비,맥주는 별책부록,주점,1,1,0
(주)세모담에프앤비,마차이짬뽕,중식,1,1,0
엘더블유지(주),잭슨피자,피자,41,35,6
(주)세화에프앤씨,플라타너스(PLATANUS),커피,2,2,0
(주)엠에이치에프홀딩스,타이완벤땅,기타 외식,3,2,1
(주)더비즈랩,카페에버그린,커피,0,0,0
(주)더비즈랩,더카페드림(THE카페드림),커피,9,0,9
(주)우리로에프앤비,포마이쌀국수&팟타이,기타 외국식,6,6,0
(주)우리로에프앤비,이찌방라멘& 카츠카레,일식,43,43,0
돼지랑찌개랑본부,돼지랑찌개랑,한식,8,7,1
(주)씨티카페비엠에스점,시티카페(CITTICAFFE),커피,2,1,1
(주)바이올푸드글로벌,유가네,한식,203,202,1
(주)맛있는수다,어부맘,한식,0,0,0
(주)마음에프앤씨,마음온밥,기타 외식,16,16,0
(주)인푸드,김순례 순살치킨강정,치킨,30,26,4
(주)맛있는수다,집밥뚝딱,한식,164,164,0
(주)제이엠케이,카페비엔나(Cafe Vienna),커피,0,0,0
(주)에이엠지에프앤비,빈키즈(Beankies),기타 외식,2,2,0
(주)볼드4,브럭시,서양식,5,2,3
마켓찬거리(주),상도늘보리,한식,11,11,0
(주)빈스앤로스터리코리아,빈스빈스,커피,20,17,3
오소오소,오소오소,한식,1,0,1
(주)코코로키친,요이벤,일식,,,
효자오리바베큐마포점,효자오리바베큐,한식,,,
엠쏘씨케이(주),어흥식당1104,서양식,0,0,0
배가무닭볶음탕,배가무닭볶음탕,한식,1,0,1
가장맛있는치킨가경복대점,가장맛있는치킨,치킨,0,0,0
이백정참숯구이,백정가LC,한식,1,0,1
(주)맛남컴퍼니,장독계,한식,2,2,0
(주)로보아르테,롸버트치킨,치킨,8,1,7
태정산업,육개장군 고기대첩,한식,0,0,0
(주)맛잇는회사,밤새우는 닭,치킨,2,2,0
레인보우탕후루,더레인보우,기타 외식,0,0,0
더국민푸드,오늘은전골,한식,0,0,0
(주)고씨네푸드,남영동양문,한식,6,5,1
(주)고씨네푸드,고씨네고추장찌개,한식,2,2,0
(주)병천아우내식품,육미명가옛날아우내순대&보쌈,기타 외식,53,53,0
(주)병천아우내식품,병천황토방순대,기타 외식,36,36,0
(주)포즈,달토끼의 떡볶이 흡입구역,분식,64,63,1
돼지새끼삼형제,백억수산,일식,,,
돼지새끼삼형제,한중관,중식,,,
돼지새끼삼형제,탕탕탕,한식,,,
돼지새끼삼형제,아성탕,한식,,,
돼지새끼삼형제,한구이삼겹살,기타 외식,,,
(주)비엠앤,달밤족발,기타 외식,0,0,0
파스타이츠,파스타이츠,기타 외식,3,2,1
케이엠(KM)미디어,부산막고기,한식,0,0,0
(주)썬핀코리아,마루벤벤,중식,2,0,2
(주)천운컴퍼니,서울도넛츠,기타 외식,18,14,4
(주)영구스피자,영구스피자,피자,38,38,0
(주)베터투머로,금차왕(KAMCHA),음료 (커피 외),1,0,1
(주)엘앤씨커머스,쇼킹맨,기타 외식,0,0,0
SubwayInternationalB.V.,써브웨이(Subway),패스트푸드,521,521,0
쭈박사,쭈박사,한식,2,0,2
BTGDevelopmentLLC,블랙 탭 크래프트 버거 앤 비어(Black Tap Burgers& Beer),기타 외국식,0,0,0
(주)유니쉐프,황금코다리,한식,121,121,0
(주)영투게더컴퍼니,영커피24,커피,0,0,0
(주)디아이디코리아,다다하다,한식,0,0,0
(주)정명에프앤비,3X-LARGE COFFEE,커피,13,13,0
(주)컴포즈커피,컴포즈커피(COMPOSE COFFEE),커피,"1,901","1,901",0
제리피푸드,조선할매설농탕,한식,,,
제이피푸드,조선밀면,한식,,,
이가네명인갈비살,이가네명인갈비살,한식,0,0,0
명가FNB,마장동 고기집,한식,1,0,1
전포문어,전포문어,주점,1,0,1
